Tamanyo del vector;Fuerza bruta aleatorio;Divide y Venceras aleatorio
1;432000;180200
2;480000;312400
3;501300;136000
4;399600;99700
5;296300;91400
6;289800;91800
7;305400;97500
8;310000;91300
9;379700;92600
10;370600;93100
11;329300;93200
12;324300;93200
13;349800;93100
14;339900;92800
15;388200;93400
16;396000;93300
17;396800;94100
18;345800;93800
19;399900;99600
20;307200;76000
21;339400;77000
22;308100;76900
23;285200;79800
24;305000;79400
25;312800;76800
26;285700;76800
27;328700;77700
28;293400;77800
29;343100;77400
30;292400;77500
31;302100;79300
32;433100;118500
33;372700;142300
34;349400;69900
35;322700;112100
36;267600;67100
37;281900;68000
38;284000;66800
39;263200;66900
40;269000;66700
41;269400;67300
42;269800;66600
43;300900;74800
44;305200;68200
45;279200;69800
46;249600;57900
47;234100;58600
48;238200;58500
49;245100;59100
50;250400;59300
51;271300;59800
52;251500;59900
53;251000;59500
54;270700;60000
55;264500;61200
56;255800;59600
57;251900;60400
58;274400;60000
59;257800;60200
60;294000;61000
61;273600;61300
62;233800;52600
63;272600;53800
64;227700;55600
65;239200;54300
66;235500;53500
67;239900;55200
68;290400;54900
69;257600;54700
70;234300;53800
71;250700;57500
72;246800;55700
73;252900;55300
74;241100;54600
75;249900;54600
76;242400;55000
77;270700;195200
78;245900;51500
79;228800;55600
80;272500;51000
81;220700;50000
82;219500;49700
83;232200;50100
84;247500;171000
85;251000;50700
86;249500;49800
87;242700;50000
88;240200;51100
89;239100;50400
90;243200;51700
91;251500;53700
92;243600;51500
93;257300;63800
94;226700;47100
95;224100;121800
96;280800;48700
97;253600;50800
98;252200;63000
99;279700;47900
100;229000;47300
101;224400;48100
102;240300;100600
103;237100;49500
104;240000;49100
105;239100;48700
106;231700;48700
107;243700;49400
108;258800;49900
109;265000;81600
110;292200;50400
111;241200;49600
112;249600;50600
113;260500;50300
114;257400;49800
115;301300;51900
116;296000;51600
117;258800;50200
118;263800;50900
119;262500;51300
120;259900;51500
121;271200;110800
122;368100;51500
123;262100;51200
124;472300;66900
125;273000;52000
126;330000;53700
127;305300;62200
128;282900;52000
129;262000;51300
130;275400;56000
131;282200;59000
132;332200;53200
133;369800;58300
134;409100;53300
135;327000;54500
136;291300;55700
137;297800;53400
138;306700;54700
139;289300;57600
140;287100;54100
141;277700;53400
142;415000;71400
143;389000;56200
144;293400;53400
145;285500;53400
146;290700;54800
147;307000;55000
148;295500;60600
149;309300;1414200
150;437700;57500
151;316600;56500
152;349700;89100
153;325200;54600
154;313400;54700
155;334100;54800
156;312800;54700
157;363200;57100
158;327700;56900
159;304500;54400
160;363200;83300
161;306900;70500
162;323500;73500
163;318400;70700
164;320600;71200
165;322600;71000
166;335300;72500
167;328300;71300
168;363900;83200
169;349300;81400
170;348500;77200
171;344800;76200
172;350800;79800
173;340300;59400
174;362700;59600
175;390400;89600
176;492000;89600
177;468400;89800
178;493400;89900
179;483400;90800
180;463200;90600
181;469100;93200
182;484600;90000
183;485300;90500
184;474800;96100
185;495500;92600
186;423600;57100
187;392500;57900
188;401200;57100
189;390400;76800
190;394500;58000
191;371900;59100
192;343900;57800
193;344000;93300
194;722300;81200
195;514700;117100
196;519900;86800
197;478500;64800
198;356800;57800
199;394000;59400
200;395400;60300
201;377000;59000
202;347800;58200
203;369000;59100
204;357600;58800
205;390400;75100
206;370900;59200
207;356400;58700
208;368200;60100
209;367200;58300
210;482900;59500
211;382700;59600
212;444700;58900
213;369700;58700
214;459900;60700
215;377200;59600
216;409400;85500
217;390800;59200
218;372800;59800
219;418100;59800
220;395500;61100
221;396300;58300
222;371800;58200
223;411300;58700
224;378000;58500
225;647400;93400
226;571300;76900
227;415800;80100
228;650600;59500
229;406900;79800
230;580000;61400
231;411100;61600
232;399000;67800
233;464700;62800
234;447500;79400
235;435300;82800
236;408300;60400
237;374500;83700
238;463300;60200
239;377300;105500
240;416400;62200
241;409800;63600
242;422400;62800
243;409000;61500
244;413500;66600
245;447100;64400
246;448500;62300
247;418800;63000
248;460400;61900
249;471700;95200
250;445700;62200
251;470400;96300
252;440400;62400
253;482500;63400
254;405300;61900
255;471700;86000
256;453100;63600
257;476900;62200
258;444700;63200
259;582300;63500
260;445100;64200
261;453900;64800
262;595500;64200
263;497600;101900
264;547800;64000
265;447400;63700
266;493800;64400
267;435600;63200
268;454200;63700
269;450800;83700
270;487600;64500
271;510200;81800
272;478400;63200
273;458100;64200
274;456000;63900
275;433600;63200
276;468000;65000
277;456500;64600
278;469600;65100
279;551700;67200
280;472700;64800
281;452400;65200
282;501200;65200
283;445700;64700
284;496600;107600
285;546000;65400
286;480100;64300
287;472200;65300
288;505500;64300
289;515400;84000
290;547200;65600
291;490200;110600
292;570000;64400
293;487300;65500
294;485700;65600
295;502400;64000
296;473800;63700
297;500900;63400
298;511300;64300
299;481100;138800
